1946
2023-07-18 23:56:12.826912
Dfjdsk
Sdfsdf
Dsf
Sdfd
NL
FD
43535
45
Y
Y
Y
Full
48157.4
1944, 2023-07-19 00:00:44.041301, Jdfhjds, Dsfs, Dsfsf, Sdfdsf, NL, DFGS, sf, 3, Y, Y, Y, Full, 3443.675
 1945, 2023-07-19 00:00:44.041301, Dsfsdf, Sdfsdf, Dsf, Sdf, PEI, SDF, sdf, 2, Y, Y, Y, Monthly, 302.3815625
 1944, 2023-07-19 00:07:38.054671, Kate, Danevych, 62 Cherr, Kyiv, NL, A1E4X8, 6789875555, 2, Y, Y, Y, Full, 2379.0625
 1945, 2023-07-19 00:07:38.054671, Olga, Proh, 56 Jghhf, Paris, NB, E3R4T5, 3333333344, 1, N, Y, N, Monthly, 142.28
 1944, 2023-07-19 00:14:51.646195, Kate, Danev, 45 Dfgdg, Fsdf, NL, F4R4, 444444, 3, Y, Y, Y, Full, 3443.675
 1945, 2023-07-19 00:14:51.646195, Olga, Proh, 678 Hfhdgf, Kyiv, PEI, F4R4R, 444444, 1, N, Y, N, Full, 1098.25
 1946, 2023-07-19 00:16:13.356483, Hfdjhg, Dfjdff, Fdsff, Df, NL, FFF, 4444, 3, Y, Y, Y, Full, 3443.675
 1947, 2023-07-19 00:23:34.744535, Hjhj, Jk, F, F, NB, G, g, 3, Y, Y, Y, Full, 3443.675
 1947, 2023-07-19 00:29:47.398373, K, , , , NL, , , 4, N, N, N, Full, 3247.8875
 1947, 2023-07-19 00:31:57.154617, , , , , NB, , , 2, Y, Y, Y, Full, 2379.0625
 1947, 2023-07-19 00:33:47.347599, , , , , NL, , , 2, Y, Y, Y, Full, 2379.0625
 1947, 2023-07-19 00:35:07.915364, , , , , NL, , , 3, Y, Y, Y, Full, 3443.675
 1948, 2023-07-19 00:37:52.302975, Fvf, Cv, Cv, V, NL, , , 4, Y, N, Y, Full, 4112.6875
 1949, 2023-07-19 00:37:52.302975, Dff, Dfsf, Df, Fdf, NB, , ff, 4, Y, Y, Y, Full, 4508.2875
 1950, 2023-07-19 08:43:58.355614, , , , , NL, , 3, 2, Y, Y, Y, Full, 2379.0625
 1951, 2023-07-19 08:45:33.921579, , , , , NS, , 4, 3, N, N, N, M, 2498.375
 1952, 2023-07-19 08:45:33.921579, Kate, Danevych, 62 Herrington, St. John'S, PEI, A1E4X8, 7093252702, 1, Y, Y, N, M, 1247.75
 1953, 2023-07-19 08:49:44.776573, Kate, Danevych, 457 Water Street, St. John'S, NB, A1E4X8, 7093252702, 2, N, N, Y, M, 1882.2625
 1954, 2023-07-19 08:57:54.674199, , , , , NL, , 4, 3, Y, Y, Y, Monthly, 435.458125
 1955, 2023-07-19 09:08:08.318790, , , , St.John'S, NL, , 4, 3, Y, Y, Y, Full, 3443.675
